balls,strikes,outs_when_up,base_state,expected_runs,sample_size
1,1,0,010,1.1739475774424146,1259
1,1,0,011,2.0090909090909093,220
1,1,0,100,0.8529176658673061,3753
1,1,0,101,1.7762237762237763,286
1,1,0,110,1.4885416666666667,960
1,1,0,111,2.4038461538461537,260
1,1,1,000,0.2586598094085615,13222
1,1,1,001,0.9021739130434783,552
1,1,1,010,0.6559959349593496,1968
1,1,1,011,1.3510848126232742,507
1,1,1,100,0.48862897985705,4617
1,1,1,101,1.0722543352601157,692
1,1,1,110,0.9278846153846154,1664
1,1,1,111,1.492091388400703,569
1,1,2,000,0.1001533448341959,10434
1,1,2,001,0.3343589743589744,975
1,1,2,010,0.3163103721298496,2526
1,1,2,011,0.5538922155688623,668
1,1,2,100,0.20704845814977973,4767
1,1,2,101,0.40627973358705993,1051
1,1,2,110,0.40728631480616534,2141
1,1,2,111,0.6834733893557423,714
1,2,0,000,0.4243454038997215,17950
1,2,0,001,1.1526717557251909,131
1,2,0,010,0.9652665589660743,1238
1,2,0,011,1.705128205128205,234
1,2,0,100,0.7804187889077533,3534
1,2,0,101,1.6597222222222223,288
1,2,0,110,1.4096638655462186,952
1,2,0,111,2.239130434782609,230
1,2,1,000,0.20850202429149797,12844
1,2,1,001,0.8097928436911488,531
1,2,1,010,0.5704918032786885,1830
1,2,1,011,1.18625678119349,553
1,2,1,100,0.42532909668633684,4406
1,2,1,101,0.9678899082568807,654
1,2,1,110,0.8290282902829028,1626
1,2,1,111,1.3797909407665505,574
1,2,2,000,0.06972494710521254,10398
1,2,2,001,0.26082130965593786,901
1,2,2,010,0.2554197871501774,2537
1,2,2,011,0.40772532188841204,699
1,2,2,100,0.14202115687598468,4443
1,2,2,101,0.32523148148148145,864
1,2,2,110,0.31324701195219123,2008
1,2,2,111,0.5450704225352113,710
2,0,0,000,0.5858250276854928,5418
2,0,0,001,1.1875,64
2,0,0,010,1.204,500
2,0,0,011,1.941747572815534,103
2,0,0,100,1.063391442155309,1262
